Review,date,Location,cleaned_review,Sentiment Score,Sentiment Label
"The carpet is very dirty, the refrigerator made so much high-pitched noise I had to unplug it and the A/C fan was so noisy I shut it off. People shouting while swimming at 11pm was unacceptable. I will not stay at a Wyndham Garden Inn again.      ",07/05/2019,Philadelphia,carpet dirti refriger made much highpitch nois unplug ac fan noisi shut peopl shout swim 11pm unaccept stay wyndham garden inn,0.3182,Positive
"The New Yorker Hotel is in a great location...easy to walk to the theaters, the new High Line area, and to all the restaurants on 46th street. The hotel was quiet and clean, the staff very friendly, and the Tick Tock Diner was a nice place for breakfast. I would stay there again.      ",07/05/2019,,new yorker hotel great locationeasi walk theater new high line area restaur 46th street hotel quiet clean staff friendli tick tock diner nice place breakfast would stay,0.8625,Positive
"Enjoyed our stay, quiet, close to Disney.      ",07/05/2019,,enjoy stay quiet close disney,0.4939,Positive
Lobby and property are top notch but rooms leave a lot to be desired. Room was old and small. Internet connection was spotty at best in room.      ,07/05/2019,,lobbi properti top notch room leav lot desir room old small internet connect spotti best room,0.7184,Positive
"there are hidden charges everywhere... you want to park? additional US$20 per day; to use the hotel ""facility"" - even if you don't want to use the pool, etc, it does not matter, additional US$ 25 per day... if you thought you were getting a good deal - big mistake... we were so disappointed that we left the first night - independent of the refund (which was another headache to request) - we preferred lose our money and pay again for another hotel, than staying over another day (we moved to a Disney hotel! - what a difference!!!)      ",07/05/2019,,hidden charg everywher want park addit us20 per day use hotel facil even dont want use pool etc matter addit us 25 per day thought get good deal big mistak disappoint left first night independ refund anoth headach request prefer lose money pay anoth hotel stay anoth day move disney hotel differ,-0.296,Negative
"Overall, our stay was ok. The hotel is old but the pool and hot tub was pleasing. Lots of space and couches in the lobby as we had to wait several hours for check-in. I was very disappointed when I saw one of the night staff at the front/check-in desk flossing his teeth. It was disgusting.      ",07/05/2019,"Fort Lauderdale, Florida",overal stay ok hotel old pool hot tub pleas lot space couch lobbi wait sever hour checkin disappoint saw one night staff frontcheckin desk floss teeth disgust,-0.6597,Negative
we paid for a room and they said thier computer was down and told us too bad thiers nothing he can do       ,07/05/2019,,paid room said thier comput told us bad thier noth,-0.5423,Negative
The limited parking is actually street parking. There is no hotel parking as mentioned on the Hotel site and Expedia. The ONLY hotel parking available is the Valet parking costing $25 / night . And alot of the times its Full. The Staff did not seem friendly. The rooms are small for the price it charges. The bed are good and the breakfast is decent. But I would not recommend this hotel.      ,07/05/2019,,limit park actual street park hotel park mention hotel site expedia hotel park avail valet park cost 25 night alot time full staff seem friendli room small price charg bed good breakfast decent would recommend hotel,0.6597,Positive
Staff was VERY nice helpful polite the room was clean the breakfast was actually very good they had plenty of food and food are VERY clean!      ,07/05/2019,,staff nice help polit room clean breakfast actual good plenti food food clean,0.9153,Positive
The resort had amazing staff and was in a great location and clean but there were bugs in the bed and bathroom       ,07/05/2019,,resort amaz staff great locat clean bug bed bathroom,0.7783,Positive
The property is huge and surrounded by a beautiful waterfront and pools.      ,06/05/2019,,properti huge surround beauti waterfront pool,0.3182,Positive
This hotel us part of a larger timeshare resort. We had a stained towel. The coffee shop was so slow we could not get waited on. When we bought a sandwich it was so dry and old we could not eat it. There was no shuttle back from Epcot between 3:30 and 8:00 pm. It is close to Epcot.       ,06/05/2019,,hotel us part larger timeshar resort stain towel coffe shop slow could get wait bought sandwich dri old could eat shuttl back epcot 330 800 pm close epcot,0.0,Neutral
"Check in was a big fail - a sign of things to come. We had specifically booked a ""deluxe king room with balcony"" which in the expedia description specifies it has a bathtub/shower combination. First, the guy at reception tries to upsell us on an upgraded room that has no balcony but does have a set of bunk beds in the room - why on earth would a couple want to pay more to have less ie no balcony? and why would we want to pay more to have a set of bunk beds that we are not going to use?! When we got to our room and realised there was no bathtub (even though we had verified it with the receptionist) we called the guest services line and an unenthusiastic voice told us to come back down and tell reception. No 'sorry about that' or 'we will be glad to help you!'. The second receptionist guy basically said the expedia descriptor was false - they don't have any rooms like that - and blamed his reservation colleagues saying there was nothing he could do. And on it went...  This hotel nickel and dimes you for everything - even when things don't cost you money they cost you in stress and make it difficult for you to just enjoy and relax. For example, nice pool area but why do you treat hotel guests as towel-stealing criminals before they have even entered the pool?! You have to sign out your towels - number of towels, room and name - and god forbid you don't return one, they will hunt you down!!  Staff are not happy, tables left dirty too long and service at bars/pool is slooooooow.      ",06/05/2019,,check big fail sign thing come specif book delux king room balconi expedia descript specifi bathtubshow combin first guy recept tri upsel us upgrad room balconi set bunk bed room earth would coupl want pay less ie balconi would want pay set bunk bed go use got room realis bathtub even though verifi receptionist call guest servic line unenthusiast voic told us come back tell recept sorri glad help second receptionist guy basic said expedia descriptor fals dont room like blame reserv colleagu say noth could went hotel nickel dime everyth even thing dont cost money cost stress make difficult enjoy relax exampl nice pool area treat hotel guest towelst crimin even enter pool sign towel number towel room name god forbid dont return one hunt staff happi tabl left dirti long servic barspool slooooooow,0.8088,Positive
"It is next to a lot that is used as a homeless camp with tents and garbage everywhere. We had to move two times due to air conditioners not working and toilets running. There are no towels left out by the pool. There is a rough crowd around this area, and we ended up being woke up to people fighting at 5 in the morning outside our doors.      ",06/05/2019,US,next lot use homeless camp tent garbag everywher move two time due air condition work toilet run towel left pool rough crowd around area end woke peopl fight 5 morn outsid door,-0.3818,Negative
General low standards throughout. Better elsewhere for the money.      ,06/05/2019,,gener low standard throughout better elsewher money,0.2023,Positive
We had two double beds. The room was huge. We actually had a room with a view. Loved It!!      ,06/05/2019,Alabama,two doubl bed room huge actual room view love,0.7579,Positive
The hotel was well situated but there were a lot of hidden extra's - even after a 3 rooms and a 6 night stay in each they wanted USD30 to store bags for 60mins. Wifi was a joke although you are paying USD35 per day for the extras (no choice have to pay it)which included wi-fi and some free calls. Some if the rooms although the same price were much bigger than others - overall not bad but would not stay there again.       ,06/05/2019,,hotel well situat lot hidden extra even 3 room 6 night stay want usd30 store bag 60min wifi joke although pay usd35 per day extra choic pay itwhich includ wifi free call room although price much bigger other overal bad would stay,0.3818,Positive
This hotel is very good. It located in the center of Manhattans. Clean and comfortable and the attitude is perfect      ,06/05/2019,,hotel good locat center manhattan clean comfort attitud perfect,0.8957,Positive
I hated that check in was so late. You can't check in until 4pm which is late. And if you get to the hotel early you can have them hold your luggage for you until your room is ready but you have to pay $5.00 per bag for them to hold onto it. After spending almost $600.00 just for 1 night you would think they could hold your luggage for free. Was not impressed with this hotel at all. Would not recommend this place to anyone. Will not stay here again. Beds are also very uncomfortable.      ,06/05/2019,,hate check late cant check 4pm late get hotel earli hold luggag room readi pay 500 per bag hold onto spend almost 60000 1 night would think could hold luggag free impress hotel would recommend place anyon stay bed also uncomfort,0.5574,Positive
"I stayed 4 nights in Orlando and of course wanted to book with Wyndham like always. But I was very disappointed with my stay this time sadly. The tv in our room was buzzing, the cable was out for a whole day, the sink in the bathroom was stuck on off for awhile. It was hard to turn on. The grout in the shower was gross and it never stayed cool in our room. I’m coming back in September for my bday like I always do and would like to still go there   Thank you Robin Butts  We were in room 1044      ",06/05/2019,,stay 4 night orlando cours want book wyndham like alway disappoint stay time sadli tv room buzz cabl whole day sink bathroom stuck awhil hard turn grout shower gross never stay cool room ’ come back septemb bday like alway would like still go thank robin butt room 1044,0.0356,Neutral
We liked it all with the e ception of the breakfast. Too much money for just okay food.      ,06/05/2019,Scarborough Me,like e ception breakfast much money okay food,0.5267,Positive
"Check in was fast and easy. My room was nice and clean every time I entered my room, so no problems.      ",06/05/2019,Fresno ca,check fast easi room nice clean everi time enter room problem,0.4215,Positive
Is it a very good location nice shopping clean of eating around      ,06/05/2019,,good locat nice shop clean eat around,0.8126,Positive
The staff was very nice and helpful. The lattes at breakfast were delicious.      ,06/05/2019,,staff nice help latt breakfast delici,0.6705,Positive
Space and location was fantastic. Staff was great and made the experience in NYC the best      ,06/05/2019,,space locat fantast staff great made experi nyc best,0.8519,Positive
"The rooms are really nice with operable windows (for fresh air), good beds and clean linen. I really like that they DON'T have carpet in the rooms. In most hotels, carpet becomes a serious health hazzard because of mold. Parking can be difficult. They have a good warm breakfast, but the dishes are a little bland. Prices went up recently, which is why I didn't give them top rating.      ",06/05/2019,"cary, NC",room realli nice oper window fresh air good bed clean linen realli like dont carpet room hotel carpet becom seriou health hazzard mold park difficult good warm breakfast dish littl bland price went recent didnt give top rate,0.9171,Positive
There was ants or some type of small bugs in my room. I took video of them crawling      ,06/05/2019,,ant type small bug room took video crawl,0.0,Neutral
"Room was great, grounds were beautiful. The main thing lacking would be a continental breakfast, at that price it is pretty standard. I realize they have the onsite restaurant at $14 a person I believe, but a small breakfast option is alway appreciated when traveling- especially at a conference center.       ",06/05/2019,,room great ground beauti main thing lack would continent breakfast price pretti standard realiz onsit restaur 14 person believ small breakfast option alway appreci travel especi confer center,0.4215,Positive
This resort is BEYOND beautiful with nice rooms gym two pools and hot tub and a restaurant on the premises with a bar! I had an amazing time with my family and the staff are so friendly and helpful!      ,06/05/2019,,resort beyond beauti nice room gym two pool hot tub restaur premis bar amaz time famili staff friendli help,0.6705,Positive
Hotel was clean. Room was small but typical of New York      ,05/05/2019,,hotel clean room small typic new york,0.4019,Positive
"Our stay was for four days and the reception was welcoming and helpful.The room itself on the 24th floor was in the same style as the reception, art deco and was clean with a comfortable bed. The bathroom was adequate but slightly dated with a bath and shower but no plug. The shower was powerful but the water at peak times was not hot. The TV was excellent and an iron and hairdryer were in the room. No tea making facilities though although this could be rented.The attached restaurant is open 24 hrs which is useful and they provided (if slightly costly) snacks and beverages. The room was on the 24th floor and had a view of the empire state building but you do have to keep the curtains closed as light pollution upsets restful sleep. The location is excellent to get to the central attractions and shopping. Food locally is plentiful as are bars. Overall I think this hotel is great value for the money but would have liked tea/coffee making facilities included but that said a 4 out of 5 from me.      ",05/05/2019,,stay four day recept welcom helpfulth room 24th floor style recept art deco clean comfort bed bathroom adequ slightli date bath shower plug shower power water peak time hot tv excel iron hairdryer room tea make facil though although could rentedth attach restaur open 24 hr use provid slightli costli snack beverag room 24th floor view empir state build keep curtain close light pollut upset rest sleep locat excel get central attract shop food local plenti bar overal think hotel great valu money would like teacoffe make facil includ said 4 5,0.9493,Positive
"Very disappointing room. Needs refurbishment really urgently. No coffee maker in the room, and no drinking water. Not upto Wyndham standards.      ",05/05/2019,,disappoint room need refurbish realli urgent coffe maker room drink water upto wyndham standard,-0.2263,Negative
Place needs some tlc. Staff were nice. Room Was not too clean. Also lots of long term stains on walls linens and shower curtain. Felt run down      ,05/05/2019,,place need tlc staff nice room clean also lot long term stain wall linen shower curtain felt run,0.6705,Positive
I heard this property has been under a few management since I last stayed at the same. I was very happy & pleased that the Wyndham property was a pleasant stay for my visit to San Jose. Keep up the great job!      ,05/05/2019,"South Orang, us",heard properti manag sinc last stay happi pleas wyndham properti pleasant stay visit san jose keep great job,0.8126,Positive
very good place 10/10 stars definitely will be booking here from now on      ,05/05/2019,San Jose ca,good place 1010 star definit book,0.4404,Positive
"Very clean, bright, and happy! Appreciated the front desk staff for accommodating my group and I!      ",05/05/2019,"Bay Area, CA",clean bright happi appreci front desk staff accommod group,0.6808,Positive
Location I enjoy very much it is a beautiful place      ,05/05/2019,,locat enjoy much beauti place,0.4939,Positive
We really enjoyed our stay here. Only minor issue was that the room did not have a refrigerator      ,05/05/2019,"Irvine, ca",realli enjoy stay minor issu room refriger,0.4939,Positive
Perfect      ,05/05/2019,,perfect,0.5719,Positive
The room and the pool. The facilities are very clean.      ,04/05/2019,,room pool facil clean,0.4019,Positive
Check in and check out took way too long! It really shouldn't be that difficult or time consuming!      ,04/05/2019,,check check took way long realli shouldnt difficult time consum,0.2755,Positive
The hotel staff were very friendly and informative. The rooms were smaller than I thought they would be but I could not fault the cleanliness of the room or the service provided      ,04/05/2019,Carluke South lanarkshire,hotel staff friendli inform room smaller thought would could fault cleanli room servic provid,-0.4019,Negative
"Hot water was so dirty and turbid. When I checked out, the staff didn't say ""sorry"" though she knew it. Safety box was broken. The sound of next room's water pipe was so noisy that I couldn't sleep. The replacement of towels wasn't good. I was disappointed of no refrigerator.      ",04/05/2019,,hot water dirti turbid check staff didnt say sorri though knew safeti box broken sound next room water pipe noisi couldnt sleep replac towel wasnt good disappoint refriger,-0.502,Negative
"The property location and accessiblility to subway, restaurants and other famous New York location was amazing, the staff service was great from every single staff member! The property seem a little old, but non the less was super clean! I wish it had a pool. The hotel is exactly what you'd expect during the reservation and based on images, can't complain. I'm overall very satisfied with my stay :)      ",04/05/2019,,properti locat accessiblil subway restaur famou new york locat amaz staff servic great everi singl staff member properti seem littl old non less super clean wish pool hotel exactli youd expect reserv base imag cant complain im overal satisfi stay,0.9284,Positive
"This historic, authentic Art Deco hotel is not lavish, but just feels like real New York. Besides those intangibles, it is exceedingly well-located for transportation and convenience to museums and theaters. Also, we always appreciate the Trattoria Bianca for tasty, unfussy meals. And it's probably one of the least costly hotels in midtown.      ",04/05/2019,"Santa Barbara, us",histor authent art deco hotel lavish feel like real new york besid intang exceedingli wellloc transport conveni museum theater also alway appreci trattoria bianca tasti unfussi meal probabl one least costli hotel midtown,0.3612,Positive
"Had to wait 1 1/2 hours for room to be ready. I purchased a room a month earlier at a different hotel and on a scale of 1-10, this room was a 4 at best. The other hotel was at least a 9 compared to it. Plus had to pay to park. I’ll never go back to that hotel. Although it was close to Disney Springs, I’d still rather drive a extra 10 minutes and stay somewhere else.      ",04/05/2019,,wait 1 12 hour room readi purchas room month earlier differ hotel scale 110 room 4 best hotel least 9 compar plu pay park ’ never go back hotel although close disney spring ’ still rather drive extra 10 minut stay somewher els,0.5859,Positive
"Cable was out while we visited, the elevators were being serviced and electrical room and high voltage box open and unattended, had to bring it to the attention of the hotel because many children around.       ",04/05/2019,,cabl visit elev servic electr room high voltag box open unattend bring attent hotel mani children around,0.0,Neutral
"The desk was extremely understaffed, making checking in and checking out or any visit to the desk extremely annoying with a 10-15m wait. The shower took a very long time to heat up, so I had to leave it running for 10m to get hot water, and even then the shower temperature was extremely sporadic.      ",04/05/2019,,desk extrem understaf make check check visit desk extrem annoy 1015m wait shower took long time heat leav run 10m get hot water even shower temperatur extrem sporad,-0.4404,Negative
"Our stay was great. The only problem I had was the cleaning staff knocked on our door at 9 and 930 to clean our room since we were checking out. Check out time wasnt until 11. Just felt rushed, but otherwise, great place!      ",03/05/2019,,stay great problem clean staff knock door 9 930 clean room sinc check check time wasnt 11 felt rush otherwis great place,0.8979,Positive
Beautiful facility. Room was a nice size with a great view.      ,03/05/2019,,beauti facil room nice size great view,0.7845,Positive
What you expect from the old building and location. No surprises.      ,03/05/2019,,expect old build locat surpris,0.0,Neutral
I really liked the close proximity to Disney Springs. The staff were very friendly and happy to assist customers.   I did not like that the dead bolt on our room did not lock leaving just the latch at the top of the door for security.      ,03/05/2019,,realli like close proxim disney spring staff friendli happi assist custom like dead bolt room lock leav latch top door secur,0.128,Positive
Checking in the front desk male was rude slamming the pen on the counter with an attitude I guess he wasn’t having a good day. 2nd I didn’t like that the guest had to rent floats for the water should have been free! Overall staff were nice especially the ones in the restaurant Eddie the waiter was awesome! Also loved that the hotel was right across from Disney Springs! I would stay here again.      ,03/05/2019,,check front desk male rude slam pen counter attitud guess ’ good day 2nd ’ like guest rent float water free overal staff nice especi one restaur eddi waiter awesom also love hotel right across disney spring would stay,0.8779,Positive
Great staff! The water pressure wasn’t good and the cable kept messing up. Other than that. It was great.      ,03/05/2019,,great staff water pressur ’ good cabl kept mess great,0.8625,Positive
"Great room, great view, great stay, would come again.      ",03/05/2019,,great room great view great stay would come,0.9231,Positive
Great place great area great staff paid parking loved it      ,03/05/2019,Jacksonville fl,great place great area great staff paid park love,0.9552,Positive
The bathroom was not clean and so smelly. THE SHOWER COURTAN WAS DIRTY.      ,03/05/2019,,bathroom clean smelli shower courtan dirti,0.4019,Positive
"Room was quite noisy due to the traffic on the street. They offered a room upgrade (12th floor vs 6th floor) for a ""nice review"" upon check in, this should be considered when reading reviews.      ",02/05/2019,,room quit noisi due traffic street offer room upgrad 12th floor vs 6th floor nice review upon check consid read review,0.4215,Positive
"The hotel staff went out of their way to ensure you have a great time, 10/10      ",02/05/2019,,hotel staff went way ensur great time 1010,0.6249,Positive
Room upgrade was nice.. Received a call from the manager concerning the first room i was in.. gave me an upgrade to a bigher rokm.      ,02/05/2019,,room upgrad nice receiv call manag concern first room gave upgrad bigher rokm,0.4215,Positive
The temperature of the water is either boiling or freezing there is no in-between and it fluctuates during your showers no matter what knobs you turn.  There were also crumbs in our bed after the housecleaning came and redid the sheets.      ,02/05/2019,,temperatur water either boil freez inbetween fluctuat shower matter knob turn also crumb bed houseclean came redid sheet,0.0258,Neutral
Long wait to check in no coffee machine in room and had to pay to leave luggage even though we tad paid a service charge every night ! Best bit was location .      ,02/05/2019,,long wait check coffe machin room pay leav luggag even though tad paid servic charg everi night best bit locat,0.5859,Positive
"Three night stay. The second and third mornings woke up with numerous bug bites, 12 to be exact. Not mosquito bites but looking at pictures on the internet, looked liked bed bug bites. At checkout, I complained to the person at the checkout desk who did not seem to care at all and basically blew me off and I asked to speak with the manager on duty. I showed him all the bites and he took pictures of my arms, legs, and neck. He took down my contact information and said he was going to check out the room and get back to me. He also looked at me like I was making this up!! That was Monday morning and it is now Thursday morning and I have not heard back from him. We have stayed at this hotel several times before because it is close to Disney Springs. In the future, I will look at other properties. Very disappointing and hard to believe I was treated this poorly. Nothing like ruining a Disney vacation with aggravating itching at the parks...      ",02/05/2019,Ft. Lauderdale,three night stay second third morn woke numer bug bite 12 exact mosquito bite look pictur internet look like bed bug bite checkout complain person checkout desk seem care basic blew ask speak manag duti show bite took pictur arm leg neck took contact inform said go check room get back also look like make monday morn thursday morn heard back stay hotel sever time close disney spring futur look properti disappoint hard believ treat poorli noth like ruin disney vacat aggrav itch park,0.4588,Positive
Excellent hotel & friendly staff! Convenient for all my needs       ,02/05/2019,,excel hotel friendli staff conveni need,0.4588,Positive
"It was a beautiful Hotel. Clean, friendly,very accommodating ! Pool was great with a super bar and food menu! Bell service was very helpful and rooms were well taken care of!      ",02/05/2019,"Warminster, Pa, us",beauti hotel clean friendlyveri accommod pool great super bar food menu bell servic help room well taken care,0.9565,Positive
Never gave us enough towels       ,02/05/2019,,never gave us enough towel,0.0,Neutral
"Great hotel, clean, decent price. Worked for our family of 3 to stay close to family in Fresh Meadows without crashing at their little place.      ",02/05/2019,"Holderness, NH",great hotel clean decent price work famili 3 stay close famili fresh meadow without crash littl place,0.8849,Positive
Didn’t like much. Awful mismatched decor. Scary other people staying in the hotel. No one answered the phone. Terrible price for the value.      ,02/05/2019,NYC,’ like much aw mismatch decor scari peopl stay hotel one answer phone terribl price valu,0.3612,Positive
"The staff was super nice and helpful. The rooms were up to date, clean and everything worked. Parking was excellent. Will stay there again.      ",02/05/2019,,staff super nice help room date clean everyth work park excel stay,0.9337,Positive
"Our room was pleasing to the eye and the king bed was very comfortable. Try to get a room away from the elevator. The elevator wasn’t noisy, but the dinging when the doors opened was noticeable. Since we were getting up early, it didn’t take away the pleasantness from our stay and many people weren’t using it late at night.      ",02/05/2019,"Las Vegas, NV",room pleas eye king bed comfort tri get room away elev elev ’ noisi ding door open notic sinc get earli ’ take away pleasant stay mani peopl ’ use late night,0.7003,Positive
Everything was nice and clean. Check in was easy. Close to restaurants and shops      ,02/05/2019,,everyth nice clean check easi close restaur shop,0.6705,Positive
Very good value for the price. Would stay there again. I do wish there were more food options past 10pm.      ,01/05/2019,Vegas,good valu price would stay wish food option past 10pm,0.6808,Positive
Absolutely amazing view and hotel room very clean and comfortable!      ,01/05/2019,,absolut amaz view hotel room clean comfort,0.6369,Positive
"I enjoyed the pool and hot tub, the in room coffee and refrigerator, the feel of the mattress, and the selection of soaps. What I did not enjoy was the big group of guys drinking beer and cursing at the pool forcing my daughter and I to leave or getting woken up by people yelling outside my room three times. No sign of any security or staff on property outside of the lobby.      ",01/05/2019,,enjoy pool hot tub room coffe refriger feel mattress select soap enjoy big group guy drink beer curs pool forc daughter leav get woken peopl yell outsid room three time sign secur staff properti outsid lobbi,0.7506,Positive
I just love this hotel. Stayed there twice. Its perfect location. Rooms are small but clean and have all you need. They have an excellent 24 hours diner which I loved!! Staff is friendly. Love it.      ,01/05/2019,"La Canada, CA",love hotel stay twice perfect locat room small clean need excel 24 hour diner love staff friendli love,0.9719,Positive
"Location was central to all of our travel plans. There was a concert in Madison Square Garden that night and we were pleasantly surprised that the noise was not bothersome from the 25th floor. The room was small and ""no frills"" but it was clean and adequate for our needs. Overall, would recommend.      ",01/05/2019,"New Haven, CT",locat central travel plan concert madison squar garden night pleasantli surpris nois bothersom 25th floor room small frill clean adequ need overal would recommend,0.6369,Positive
"Room a bit small. Very noisy, all sounds of next rooms bathroom etc, walls have no sound proof insulation. Bathroom had no place, planchette or element to put your personal items, soap toothbrush. Beds were confortable. Overall staff friendly, except one housekeeper because we were still in room when she wanted to clean it. Location perfect .      ",01/05/2019,,room bit small noisi sound next room bathroom etc wall sound proof insul bathroom place planchett element put person item soap toothbrush bed confort overal staff friendli except one housekeep still room want clean locat perfect,0.7717,Positive
Great location and old nyc style. Staff is always pleasant.      ,01/05/2019,"Scituate, MA",great locat old nyc style staff alway pleasant,0.8126,Positive
"I loved the efficiency. After delayed a flight and late night Lyft ride, checking into the hotel was the easy part. It was around 1:30am so there was no line. Even the next day when they were busy at the counter someone told me I can simply put my key in a drop box if I do t owe fees making my checkout quick. The New Yorker was great. I went next door to Tick Tock Diner for breakfast.  It’s not very modern as other hotels I’ve stayed in but it was effective for the 1 night I needed to stay on my personal budget.      ",01/05/2019,,love effici delay flight late night lyft ride check hotel easi part around 130am line even next day busi counter someon told simpli put key drop box owe fee make checkout quick new yorker great went next door tick tock diner breakfast ’ modern hotel ’ stay effect 1 night need stay person budget,0.7096,Positive
The hotel was great and the staff was fantastic.       ,01/05/2019,,hotel great staff fantast,0.6249,Positive
Not able to give me the Expedia price at check in. Hotel is tired and worn      ,01/05/2019,Seattle,abl give expedia price check hotel tire worn,-0.296,Negative
"I stayed in the family room of this hotel. The room is big enough for a family. However, the condition of the hotel is just ok. I understand the hotel in Manhattan is expensive. I stayed in a better hotel in this price range, the condition and cleanliness is much better.      ",01/05/2019,,stay famili room hotel room big enough famili howev condit hotel ok understand hotel manhattan expens stay better hotel price rang condit cleanli much better,0.7906,Positive
Was not a great location. Online it says South Times Square it’s not that close of a walk. Not worth the money. Shower door strip falling off. Staff forgot to put wash cloths in my bathroom. When my wife and I returned from an evening out 3 rats crossed the sidewalk in front of us about 30 feet before reaching the hotel front door. Staff said they are not responsible for things outside of the hotel. Small coffee at the restaurant 3.75 for guests.       ,01/05/2019,Roseville Ca.,great locat onlin say south time squar ’ close walk worth money shower door strip fall staff forgot put wash cloth bathroom wife return even 3 rat cross sidewalk front us 30 feet reach hotel front door staff said respons thing outsid hotel small coffe restaur 375 guest,0.7269,Positive
The staff was amazingly friendly and the room was very clean. They greeted us every time we came in and out of the hotel which was nice. A very short walk to Disneyland which was very very convenient!! Parking was included with the room which saved us a ton of money not having to park at Disneyland. Easy to get in and out the underground parking which was also very safe for us to leave our vehicle. Many food and convenience stores are within walking distance as well. Next time our family is in Anaheim we will definitely stay here again!!!      ,01/05/2019,,staff amazingli friendli room clean greet us everi time came hotel nice short walk disneyland conveni park includ room save us ton money park disneyland easi get underground park also safe us leav vehicl mani food conveni store within walk distanc well next time famili anaheim definit stay,0.9325,Positive
"Absolutely perfect! Our view was amazing. When we arrived the staff was friendly, quick, and made sure we were taken care of.      ",30/04/2019,"New Boston, MI",absolut perfect view amaz arriv staff friendli quick made sure taken care,0.8481,Positive
"Good - quick check-in. Not so good - The room overlooked a roof with green outdoor carpet. Fortunately, only there one night & not in room much.      ",30/04/2019,,good quick checkin good room overlook roof green outdoor carpet fortun one night room much,0.7003,Positive
"We found the facilities offered by the Wyndham Bonnet Creek properties fantastic, from Lazy Rivers to Mini Golf to BBQ areas to Eateries. It was a great place to relax after a full on day at Disney World (just down the road) or Universal Parks (20min drive away). There are also a lot of planned activities around the complex but the Hotel dint really advise of any of this, we actually found out in the activities area of one of the other towers, im sure they would had advised us if we had asked at reception. A couple of downsides, laundry facilities, we stayed for 16 nights so needed to do some washing, the complex doesnt have a laundry so the only drop off service we could find was 20-25mins away, so all in all for drop off and pickup about 2hrs. House keeping also let the Hotel down, threee days in a row the kids bunk beds were not made up, couple of days where towels were not replaced, taken but not replaced, our daughters bed one night had not sheet, just a blanket. A lot of other small things but when you are paying a good amount of money you also expect them.      ",30/04/2019,"Auckland, New Zealand",found facil offer wyndham bonnet creek properti fantast lazi river mini golf bbq area eateri great place relax full day disney world road univers park 20min drive away also lot plan activ around complex hotel dint realli advis actual found activ area one tower im sure would advis us ask recept coupl downsid laundri facil stay 16 night need wash complex doesnt laundri drop servic could find 2025min away drop pickup 2hr hous keep also let hotel threee day row kid bunk bed made coupl day towel replac taken replac daughter bed one night sheet blanket lot small thing pay good amount money also expect,0.925,Positive
Guy who checked us in shouldn’t be in the hospitality industry. Horrible attitude      ,30/04/2019,us,guy check us ’ hospit industri horribl attitud,0.0,Neutral
The room is clean and big      ,30/04/2019,,room clean big,0.4019,Positive
It was disappointing that the bar wasn’t open during our stay. We would’ve chosen a different hotel had we known.      ,30/04/2019,,disappoint bar ’ open stay would ’ chosen differ hotel known,-0.4019,Negative
"Sweeping views of both the Empire State Building AND of the WTC and lower Manhattan from our corner room were almost impossible to beat! However, we had to change rooms for a night due to the A/C not working, and upon our return to our favorite room, the heating system broke down. We also experienced a strong cigarette smell through the vent twice...not the hotel's fault of course, but unpleasant. Staff is very attentive, courteous and kind. Not a very family-friendly hotel; but truly ideal for the business traveler or for families with older kids. We really enjoyed our stay in spite of a couple of issues!      ",30/04/2019,,sweep view empir state build wtc lower manhattan corner room almost imposs beat howev chang room night due ac work upon return favorit room heat system broke also experienc strong cigarett smell vent twicenot hotel fault cours unpleas staff attent courteou kind familyfriendli hotel truli ideal busi travel famili older kid realli enjoy stay spite coupl issu,0.4939,Positive
"Mixed views of this hotel. First morning woke up with itchy bites on my arm that turned into welts. Not sure if bitten in the night, but no reason to think otherwise. After spending some $500 in the various hotel restaurants, TickTock wanted $3 for a cup of hot water... that charge was simply over the top. Location is great, food and service in Butcher and Banker was excellent. Jury is out on the itchy bites.       ",30/04/2019,,mix view hotel first morn woke itchi bite arm turn welt sure bitten night reason think otherwis spend 500 variou hotel restaur ticktock want 3 cup hot water charg simpli top locat great food servic butcher banker excel juri itchi bite,0.8885,Positive
"Location to tourist attractions , good diner next door , Art Deco design      ",30/04/2019,,locat tourist attract good diner next door art deco design,0.6597,Positive
"Elevator is to small, they need better breakfast but every thing else was nice.      ",30/04/2019,,elev small need better breakfast everi thing els nice,0.6908,Positive
The ac stopped cooling around midnight but the house engineers were able to fix the air and the rest of our stay was very nice      ,30/04/2019,,ac stop cool around midnight hous engin abl fix air rest stay nice,0.4404,Positive
Great stay were quick and easy and helpful.      ,30/04/2019,,great stay quick easi help,0.7783,Positive
Great location !! Clean& very friendly staff. Valet and self park $20. Resort fees $25      ,30/04/2019,,great locat clean friendli staff valet self park 20 resort fee 25,0.7783,Positive
Great and friendly staff. Hotel needs some updating as room had items falling apart and rug needs shampooing or replacement.       ,30/04/2019,,great friendli staff hotel need updat room item fall apart rug need shampoo replac,0.6249,Positive
